F,I,J,S,V,VtoInf
35.0000000000, 4, 2, 17.3800000000, 68.0099999740, 34.1477501265
35.0000000000, 8, 4, 17.3800000000, 63.2599999818, 34.1477501265
35.0000000000, 16, 8, 17.3800000000, 53.7599999971, 34.1477501265
35.0000000000, 32, 16, 17.3800000000, 40.7037344262, 34.1477501265
35.0000000000, 64, 32, 17.3800000000, 42.7347467908, 34.1477501265
35.0000000000, 128, 64, 17.3800000000, 43.0784786586, 34.1477501265
35.0000000000, 256, 128, 17.3800000000, 43.1958253089, 34.1477501265
35.0000000000, 512, 256, 17.3800000000, 43.2253216227, 34.1477501265
35.0000000000, 1024, 512, 17.3800000000, 43.2315891274, 34.1477501265
35.0000000000, 2048, 1024, 17.3800000000, 43.2324660345, 34.1477501265
35.0000000000, 4096, 2048, 17.3800000000, 43.2335144816, 34.1477501265
