F,I,J,S,V,VtoInf
35.0000000000, 16, 8, 17.3800000000, 40.6947616402, 34.1477501265
35.0000000000, 32, 16, 17.3800000000, 42.7226015285, 34.1477501265
35.0000000000, 64, 32, 17.3800000000, 43.0797520620, 34.1477501265
35.0000000000, 128, 64, 17.3800000000, 43.1882196973, 34.1477501265
35.0000000000, 256, 128, 17.3800000000, 43.2219325264, 34.1477501265
35.0000000000, 512, 256, 17.3800000000, 43.2301330276, 34.1477501265
35.0000000000, 1024, 512, 17.3800000000, 43.2318990171, 34.1477501265
35.0000000000, 2048, 1024, 17.3800000000, 43.2327402217, 34.1477501265
35.0000000000, 4096, 2048, 17.3800000000, 43.2336387324, 34.1477501265
35.0000000000, 8192, 4096, 17.3800000000, 43.2338258054, 34.1477501265
