F,I,J,S,V,VtoInf
35.0000000000, 202, 20, 17.3800000000, 42.7564814195, 34.1477501265
35.0000000000, 402, 40, 17.3800000000, 43.0912408071, 34.1477501265
35.0000000000, 802, 80, 17.3800000000, 43.2012157364, 34.1477501265
35.0000000000, 1602, 160, 17.3800000000, 43.2274111870, 34.1477501265
35.0000000000, 3202, 320, 17.3800000000, 43.2327523722, 34.1477501265
35.0000000000, 6402, 640, 17.3800000000, 43.2333029971, 34.1477501265
35.0000000000, 12802, 1280, 17.3800000000, 43.2336297717, 34.1477501265
35.0000000000, 25602, 2560, 17.3800000000, 43.2338565786, 34.1477501265
