F,I,J,S,V,VtoINF
35.0000000000, 300, 300, 2.0000000000, 37.9999999976, 11.0181047438
35.0000000000, 300, 300, 2.2000000000, 37.9999999976, 11.3188803665
35.0000000000, 300, 300, 2.4200000000, 37.9999999976, 11.6497335514
35.0000000000, 300, 300, 2.6620000000, 37.9999999976, 12.0136720548
35.0000000000, 300, 300, 2.9282000000, 37.9999999976, 12.4140044086
35.0000000000, 300, 300, 3.2210200000, 37.9999999976, 12.8543699977
35.0000000000, 300, 300, 3.5431220000, 37.9999999976, 13.3387721458
35.0000000000, 300, 300, 3.8974342000, 37.9999999976, 13.8716145086
35.0000000000, 300, 300, 4.2871776200, 37.9999999976, 14.4577411078
35.0000000000, 300, 300, 4.7158953820, 37.9999999976, 15.1024803668
35.0000000000, 300, 300, 5.1874849202, 37.9999999978, 15.8116935518
35.0000000000, 300, 300, 5.7062334122, 37.9999999984, 16.5918280553
35.0000000000, 300, 300, 6.2768567534, 38.0068510883, 17.4499760091
35.0000000000, 300, 300, 6.9045424288, 38.0223837809, 18.3939387582
35.0000000000, 300, 300, 7.5949966717, 38.0797170271, 19.4322977824
35.0000000000, 300, 300, 8.3544963388, 38.1764975675, 20.5744927089
35.0000000000, 300, 300, 9.1899459727, 38.3322125731, 21.8309071280
35.0000000000, 300, 300, 10.1089405700, 38.5723923142, 23.2129629891
35.0000000000, 300, 300, 11.1198346270, 38.9278109122, 24.7332244363
35.0000000000, 300, 300, 12.2318180897, 39.4326855796, 26.4055120282
35.0000000000, 300, 300, 13.4549998987, 40.1231248697, 28.2450283793
35.0000000000, 300, 300, 14.8004998885, 41.0362098825, 30.2684963655
35.0000000000, 300, 300, 16.2805498774, 42.2335938451, 32.4943111504
35.0000000000, 300, 300, 17.9086048651, 43.7560401164, 34.9427074137
35.0000000000, 300, 300, 19.6994653516, 45.6766801725, 37.6359433034
35.0000000000, 300, 300, 21.6694118868, 48.0453586209, 40.5985027820
35.0000000000, 300, 300, 23.8363530755, 50.9366111836, 43.8573182084
35.0000000000, 300, 300, 26.2199883830, 54.4427939263, 47.4420151776
35.0000000000, 300, 300, 28.8419872213, 58.6625623850, 51.3851818436
35.0000000000, 300, 300, 31.7261859434, 63.7299334111, 55.7226651763
35.0000000000, 300, 300, 34.8988045378, 69.8000593869, 60.4938968422
35.0000000000, 300, 300, 38.3886849916, 76.7773699413, 65.7422516747
35.0000000000, 300, 300, 42.2275534907, 84.4551069323, 71.5154419904
35.0000000000, 300, 300, 46.4503088398, 92.9006176224, 77.8659513377
35.0000000000, 300, 300, 51.0953397238, 102.1906793816, 84.8515116198
35.0000000000, 300, 300, 56.2048736961, 112.4097473166, 92.5356279300
35.0000000000, 300, 300, 61.8253610657, 123.6507220451, 100.9881558713
35.0000000000, 300, 300, 68.0078971723, 136.0157942465, 110.2859366067
35.0000000000, 300, 300, 74.8086868895, 149.6173736681, 120.5134954157
35.0000000000, 300, 300, 82.2895555785, 164.5791110318, 131.7638101055
35.0000000000, 300, 300, 90.5185111364, 181.0370221318, 144.1391562644
35.0000000000, 300, 300, 99.5703622500, 199.1407243419, 157.7520370391
35.0000000000, 300, 300, 109.5273984750, 219.0547967730, 172.7262058913
35.0000000000, 300, 300, 120.4801383225, 240.9602764471, 189.1977916287
35.0000000000, 300, 300, 132.5281521547, 265.0563040887, 207.3165359398
35.0000000000, 300, 300, 145.7809673702, 291.5619344945, 227.2471546821
35.0000000000, 300, 300, 160.3590641072, 320.7181279408, 249.1708352986
35.0000000000, 300, 300, 176.3949705179, 352.7899407318, 273.2868839767
35.0000000000, 300, 300, 194.0344675697, 388.0689348019, 299.8145375227
