F,I,J,S,V,VtoINF
35.0000000000, 200, 200, 21.8426662586, 48.2740077599, 40.8590562398
35.0000000000, 200, 200, 22.9347995715, 49.7051522044, 42.5014916259
35.0000000000, 200, 200, 24.0815395501, 51.2795454205, 44.2260487813
35.0000000000, 200, 200, 25.2856165276, 53.0317167702, 46.0368337945
35.0000000000, 200, 200, 26.5498973540, 54.9605517409, 47.9381580584
35.0000000000, 200, 200, 27.8773922217, 57.0768736543, 49.9345485355
35.0000000000, 200, 200, 29.2712618327, 59.3994310134, 52.0307585364
35.0000000000, 200, 200, 30.7348249244, 61.9480714265, 54.2317790373
35.0000000000, 200, 200, 32.2715661706, 64.7440478979, 56.5428505633
35.0000000000, 200, 200, 33.8851444791, 67.8102549346, 58.9694756656
35.0000000000, 200, 200, 35.5794017031, 71.1588033778, 61.5174320231
35.0000000000, 200, 200, 37.3583717882, 74.7167435367, 64.1927861984
35.0000000000, 200, 200, 39.2262903777, 78.4525807119, 67.0019080824
35.0000000000, 200, 200, 41.1876048965, 82.3752097460, 69.9514860607
35.0000000000, 200, 200, 43.2469851414, 86.4939702317, 73.0485429378
35.0000000000, 200, 200, 45.4093343984, 90.8186687417, 76.3004526589
35.0000000000, 200, 200, 47.6798011184, 95.3596021773, 79.7149578660
35.0000000000, 200, 200, 50.0637911743, 100.1275822846, 83.3001883334
35.0000000000, 200, 200, 52.5669807330, 105.1339613972, 87.0646803242
35.0000000000, 200, 200, 55.1953297696, 110.3906594655, 91.0173969146
35.0000000000, 200, 200, 57.9550962581, 115.9101924373, 95.1677493344
35.0000000000, 200, 200, 60.8528510710, 121.7057020576, 99.5256193753
35.0000000000, 200, 200, 63.8954936246, 127.7909871589, 104.1013829182
35.0000000000, 200, 200, 67.0902683058, 134.1805365153, 108.9059346383
35.0000000000, 200, 200, 70.4447817211, 140.8895633395, 113.9507139443
35.0000000000, 200, 200, 73.9670208072, 147.9340415049, 119.2477322157
35.0000000000, 200, 200, 77.6653718475, 155.3307435786, 124.8096014006
35.0000000000, 200, 200, 81.5486404399, 163.0972807559, 130.6495640448
35.0000000000, 200, 200, 85.6260724619, 171.2521447922, 136.7815248211
35.0000000000, 200, 200, 89.9073760850, 179.8147520302, 143.2200836363
35.0000000000, 200, 200, 94.4027448892, 188.8054896302, 149.9805703923
35.0000000000, 200, 200, 99.1228821337, 198.2457641101, 157.0790814860
35.0000000000, 200, 200, 104.0790262404, 208.1580523141, 164.5325181345
35.0000000000, 200, 200, 109.2829775524, 218.5659549282, 172.3586266153
35.0000000000, 200, 200, 114.7471264300, 229.4942526731, 180.5760405203
35.0000000000, 200, 200, 120.4844827515, 240.9689653052, 189.2043251204
35.0000000000, 200, 200, 126.5087068891, 253.0174135689, 198.2640239506
35.0000000000, 200, 200, 132.8341422335, 265.6682842458, 207.7767077222
35.0000000000, 200, 200, 139.4758493452, 278.9516984565, 217.7650256825
35.0000000000, 200, 200, 146.4496418125, 292.8992833778, 228.2527595408
35.0000000000, 200, 200, 153.7721239031, 307.5442475451, 239.2648800919
35.0000000000, 200, 200, 161.4607300983, 322.9214599208, 250.8276066707
35.0000000000, 200, 200, 169.5337666032, 339.0675329153, 262.9684695783
35.0000000000, 200, 200, 178.0104549333, 356.0209095595, 275.7163756314
35.0000000000, 200, 200, 186.9109776800, 373.8219550359, 289.1016769871
35.0000000000, 200, 200, 196.2565265640, 392.5130527861, 303.1562434106
