F,I,J,S,V,VtoInf
35.0000000000, 2, 2, 17.3800000000, 63.7877777347, 34.1477501265
35.0000000000, 4, 4, 17.3800000000, 51.9616460843, 34.1477501265
35.0000000000, 8, 8, 17.3800000000, 41.5318263095, 34.1477501265
35.0000000000, 16, 16, 17.3800000000, 42.5739329020, 34.1477501265
35.0000000000, 32, 32, 17.3800000000, 42.6818415689, 34.1477501265
35.0000000000, 64, 64, 17.3800000000, 43.1807498869, 34.1477501265
35.0000000000, 128, 128, 17.3800000000, 43.2112303900, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 43.2268464595, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 43.2299609365, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 43.2317522430, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 43.2327747174, 34.1477501265
