F,I,J,S,V,VtoInf
35.0000000000, 2, 2, 17.3800000000, 66.4266666432, 34.1477501265
35.0000000000, 4, 4, 17.3800000000, 60.0933333198, 34.1477501265
35.0000000000, 8, 8, 17.3800000000, 48.9089908073, 34.1477501265
35.0000000000, 16, 16, 17.3800000000, 43.9874005058, 34.1477501265
35.0000000000, 32, 32, 17.3800000000, 43.3951777242, 34.1477501265
35.0000000000, 64, 64, 17.3800000000, 43.2730059181, 34.1477501265
35.0000000000, 128, 128, 17.3800000000, 43.2349352428, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 43.2326841837, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 43.2314306686, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 43.2321183219, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 43.2328663829, 34.1477501265
