F,I,J,S,V,VtoInf
35.0000000000, 8, 8, 17.3800000000, 40.7175921919, 34.1477501265
35.0000000000, 16, 16, 17.3800000000, 42.7904813020, 34.1477501265
35.0000000000, 32, 32, 17.3800000000, 43.0817650395, 34.1477501265
35.0000000000, 64, 64, 17.3800000000, 43.1893564962, 34.1477501265
35.0000000000, 128, 128, 17.3800000000, 43.2307156570, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 43.2346616765, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 43.2343668126, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 43.2339292751, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 43.2337449197, 34.1477501265
35.0000000000, 4096, 4096, 17.3800000000, 43.2336443309, 34.1477501265
35.0000000000, 8192, 8192, 17.3800000000, 43.2338251687, 34.1477501265
