F,I,J,S,V,VtoInf
35.0000000000, 4, 4, 17.3800000000, 37.9999999806, 34.1477501265
35.0000000000, 8, 8, 17.3800000000, 37.9999999634, 34.1477501265
35.0000000000, 16, 16, 17.3800000000, 37.9999999204, 34.1477501265
35.0000000000, 32, 32, 17.3800000000, 37.9999998126, 34.1477501265
35.0000000000, 64, 64, 17.3800000000, 37.9999995378, 34.1477501265
35.0000000000, 128, 128, 17.3800000000, 37.9999990331, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 37.9999978895, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 37.9999950659, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 37.9999897578, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 37.9999795179, 34.1477501265
35.0000000000, 4096, 4096, 17.3800000000, 37.9999590383, 34.1477501265
35.0000000000, 8192, 8192, 17.3800000000, 37.9999180800, 34.1477501265
35.0000000000, 16384, 16384, 17.3800000000, 37.9998361667, 34.1477501265
