F,I,J,S,V,VtoInf
35.0000000000, 4, 2, 17.3800000000, 69.2717186926, 34.1477501265
35.0000000000, 8, 4, 17.3800000000, 63.6995141208, 34.1477501265
35.0000000000, 16, 8, 17.3800000000, 52.9860801825, 34.1477501265
35.0000000000, 32, 16, 17.3800000000, 40.2496490842, 34.1477501265
35.0000000000, 64, 32, 17.3800000000, 40.7081780838, 34.1477501265
35.0000000000, 128, 64, 17.3800000000, 42.7521583727, 34.1477501265
35.0000000000, 256, 128, 17.3800000000, 43.0868745010, 34.1477501265
35.0000000000, 512, 256, 17.3800000000, 43.1995765502, 34.1477501265
35.0000000000, 1024, 512, 17.3800000000, 43.2269906820, 34.1477501265
35.0000000000, 2048, 1024, 17.3800000000, 43.2322884394, 34.1477501265
35.0000000000, 4096, 2048, 17.3800000000, 43.2331982023, 34.1477501265
35.0000000000, 8192, 4096, 17.3800000000, 43.2336654277, 34.1477501265
