F,I,J,S,V,VtoInf
35.0000000000, 18, 18, 17.3800000000, 41.5182979213, 34.1477501265
35.0000000000, 36, 36, 17.3800000000, 41.9387759759, 34.1477501265
35.0000000000, 72, 72, 17.3800000000, 42.0266633746, 34.1477501265
35.0000000000, 144, 144, 17.3800000000, 42.0458378476, 34.1477501265
35.0000000000, 288, 288, 17.3800000000, 42.0494241464, 34.1477501265
35.0000000000, 576, 576, 17.3800000000, 42.0497279750, 34.1477501265
35.0000000000, 1152, 1152, 17.3800000000, 42.0495081383, 34.1477501265
35.0000000000, 2304, 2304, 17.3800000000, 42.0495608052, 34.1477501265
