F,I,J,S,V,VtoInf
35.0000000000, 6, 6, 17.3800000000, 41.5683152978, 34.1477501265
35.0000000000, 12, 12, 17.3800000000, 41.9601489421, 34.1477501265
35.0000000000, 24, 24, 17.3800000000, 42.0363672837, 34.1477501265
35.0000000000, 48, 48, 17.3800000000, 42.0498051433, 34.1477501265
35.0000000000, 96, 96, 17.3800000000, 42.0505210481, 34.1477501265
35.0000000000, 192, 192, 17.3800000000, 42.0493888322, 34.1477501265
35.0000000000, 384, 384, 17.3800000000, 42.0484507055, 34.1477501265
35.0000000000, 768, 768, 17.3800000000, 42.0481439018, 34.1477501265
35.0000000000, 1536, 1536, 17.3800000000, 42.0479676770, 34.1477501265
35.0000000000, 3072, 3072, 17.3800000000, 42.0478738594, 34.1477501265
