F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.3959200184, 6.1782357535
35.0000000000, 2.2000000000, 34.4025213327, 6.5419485542
35.0000000000, 2.4200000000, 34.4097827786, 6.9420326350
35.0000000000, 2.6620000000, 34.4206515721, 7.3821251238
35.0000000000, 2.9282000000, 34.4341723430, 7.8662268615
35.0000000000, 3.2210200000, 34.4538145915, 8.3987387730
35.0000000000, 3.5431220000, 34.4782070916, 8.9845018756
35.0000000000, 3.8974342000, 34.5127368661, 9.6288412885
35.0000000000, 4.2871776200, 34.5588321077, 10.3376146427
35.0000000000, 4.7158953820, 34.6194265916, 11.1172653323
35.0000000000, 5.1874849202, 34.6996232539, 11.9748810909
35.0000000000, 5.7062334122, 34.8056252927, 12.9182584253
35.0000000000, 6.2768567534, 34.9447468911, 13.9559734932
35.0000000000, 6.9045424288, 35.1254282318, 15.0974600679
35.0000000000, 7.5949966717, 35.3611029357, 16.3530953000
35.0000000000, 8.3544963388, 35.6655476803, 17.7342940553
35.0000000000, 9.1899459727, 36.0550644326, 19.2536126862
35.0000000000, 10.1089405700, 36.5491895195, 20.9248631802
35.0000000000, 11.1198346270, 37.1735011058, 22.7632387235
35.0000000000, 12.2318180897, 37.9552225412, 24.7854518212
35.0000000000, 13.4549998987, 38.9228840887, 27.0098862287
35.0000000000, 14.8004998885, 40.1165853927, 29.4567640769
35.0000000000, 16.2805498774, 41.5703574057, 32.1483297099
35.0000000000, 17.9086048651, 43.3263176600, 35.1090519062
35.0000000000, 19.6994653516, 45.4304723533, 38.3658463222
35.0000000000, 21.6694118868, 47.9266786912, 41.9483201797
35.0000000000, 23.8363530755, 50.8628388961, 45.8890414230
35.0000000000, 26.2199883830, 54.2867078648, 50.2238347907
35.0000000000, 28.8419872213, 58.2459429229, 54.9921074951
35.0000000000, 31.7261859434, 62.7889053404, 60.2372074699
35.0000000000, 34.8988045378, 67.9633796114, 66.0068174422
35.0000000000, 38.3886849916, 73.8187564297, 72.3533884118
35.0000000000, 42.2275534907, 80.4055115586, 79.3346164783
35.0000000000, 46.4503088398, 87.7770044640, 87.0139673515
35.0000000000, 51.0953397238, 95.9916635057, 95.4612533119
35.0000000000, 56.2048736961, 105.1135019592, 104.7532678685
35.0000000000, 61.8253610657, 115.2144812073, 114.9744838807
35.0000000000, 68.0078971723, 126.3759576169, 126.2178214941
35.0000000000, 74.8086868895, 138.6900959376, 138.5854928688
35.0000000000, 82.2895555785, 152.2609361154, 152.1899313810
35.0000000000, 90.5185111364, 167.2056930712, 167.1548137445
35.0000000000, 99.5703622500, 183.6556585139, 183.6161843442
35.0000000000, 109.5273984750, 201.7571750273, 201.7236920040
35.0000000000, 120.4801383225, 221.6727156637, 221.6419504297
35.0000000000, 132.5281521547, 243.5820561373, 243.5520346981
35.0000000000, 145.7809673702, 267.6836454643, 267.6531273932
35.0000000000, 160.3590641072, 294.1961841121, 294.1643293579
35.0000000000, 176.3949705179, 323.3604314857, 323.3266515190
35.0000000000, 194.0344675697, 355.4412541994, 355.4052058962
35.0000000000, 213.4379143267, 390.7299386315, 390.6916157112
35.0000000000, 234.7817057594, 429.5468036385, 429.5066665076
