F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.9156130895, 11.0181047438
35.0000000000, 2.2000000000, 34.9783808085, 11.3188803665
35.0000000000, 2.4200000000, 35.0474252994, 11.6497335514
35.0000000000, 2.6620000000, 35.1292652895, 12.0136720548
35.0000000000, 2.9282000000, 35.2224893554, 12.4140044086
35.0000000000, 3.2210200000, 35.3327392335, 12.8543699977
35.0000000000, 3.5431220000, 35.4582115534, 13.3387721458
35.0000000000, 3.8974342000, 35.6065122808, 13.8716145086
35.0000000000, 4.2871776200, 35.7789033378, 14.4577411078
35.0000000000, 4.7158953820, 35.9788772841, 15.1024803668
35.0000000000, 5.1874849202, 36.2117322156, 15.8116935518
35.0000000000, 5.7062334122, 36.4831799837, 16.5918280553
35.0000000000, 6.2768567534, 36.7994017902, 17.4499760091
35.0000000000, 6.9045424288, 37.1671081076, 18.3939387582
35.0000000000, 7.5949966717, 37.5959816252, 19.4322977824
35.0000000000, 8.3544963388, 38.0954286040, 20.5744927089
35.0000000000, 9.1899459727, 38.6759856441, 21.8309071280
35.0000000000, 10.1089405700, 39.3499325316, 23.2129629891
35.0000000000, 11.1198346270, 40.1324959277, 24.7332244363
35.0000000000, 12.2318180897, 41.0396510245, 26.4055120282
35.0000000000, 13.4549998987, 42.0883025023, 28.2450283793
35.0000000000, 14.8004998885, 43.3011913764, 30.2684963655
35.0000000000, 16.2805498774, 44.6990062549, 32.4943111504
35.0000000000, 17.9086048651, 46.3072315284, 34.9427074137
35.0000000000, 19.6994653516, 48.1545864064, 37.6359433034
35.0000000000, 21.6694118868, 50.2707071759, 40.5985027820
35.0000000000, 23.8363530755, 52.6893793963, 43.8573182084
35.0000000000, 26.2199883830, 55.4470225317, 47.4420151776
35.0000000000, 28.8419872213, 58.5829675722, 51.3851818436
35.0000000000, 31.7261859434, 62.1401113638, 55.7226651763
35.0000000000, 34.8988045378, 66.1642029689, 60.4938968422
35.0000000000, 38.3886849916, 70.7050029163, 65.7422516747
35.0000000000, 42.2275534907, 75.8155392445, 71.5154419904
35.0000000000, 46.4503088398, 81.5525770161, 77.8659513377
35.0000000000, 51.0953397238, 87.9776580205, 84.8515116198
35.0000000000, 56.2048736961, 95.1563880312, 92.5356279300
35.0000000000, 61.8253610657, 103.1595909367, 100.9881558713
35.0000000000, 68.0078971723, 112.0638517671, 110.2859366067
35.0000000000, 74.8086868895, 121.9523736369, 120.5134954157
35.0000000000, 82.2895555785, 132.9153554016, 131.7638101055
35.0000000000, 90.5185111364, 145.0515420102, 144.1391562644
35.0000000000, 99.5703622500, 158.4691780139, 157.7520370391
35.0000000000, 109.5273984750, 173.2871232574, 172.7262058913
35.0000000000, 120.4801383225, 189.6363876450, 189.1977916287
35.0000000000, 132.5281521547, 207.6614980872, 207.3165359398
35.0000000000, 145.7809673702, 227.5220676238, 227.2471546821
35.0000000000, 160.3590641072, 249.3944050238, 249.1708352986
35.0000000000, 176.3949705179, 273.4732362814, 273.2868839767
35.0000000000, 194.0344675697, 299.9734576844, 299.8145375227
35.0000000000, 213.4379143267, 329.1319719170, 328.9949564232
35.0000000000, 234.7817057594, 361.2095337090, 361.0934172138
