F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 132.8341422335, 207.8820814152, 207.7767077222
35.0000000000, 500, 500, 139.4758493452, 217.8698517358, 217.7650256825
35.0000000000, 500, 500, 146.4496418125, 228.3574353750, 228.2527595408
35.0000000000, 500, 500, 153.7721239031, 239.3697499603, 239.2648800919
35.0000000000, 500, 500, 161.4607300983, 250.9329839264, 250.8276066707
35.0000000000, 500, 500, 169.5337666032, 263.0746552081, 262.9684695783
35.0000000000, 500, 500, 178.0104549333, 275.8236686489, 275.7163756314
35.0000000000, 500, 500, 186.9109776800, 289.2103791693, 289.1016769871
35.0000000000, 500, 500, 196.2565265640, 303.2666550959, 303.1562434106
35.0000000000, 500, 500, 206.0693528922, 318.0259448651, 317.9135381553
35.0000000000, 500, 500, 216.3728205368, 333.5233440198, 333.4086976372
35.0000000000, 500, 500, 227.1914615636, 349.7956650525, 349.6786150932
35.0000000000, 500, 500, 238.5510346418, 366.8815077451, 366.7620284220
35.0000000000, 500, 500, 250.4785863739, 384.8213318086, 384.6996124172
35.0000000000, 500, 500, 263.0025156926, 403.6575322401, 403.5340756122
35.0000000000, 500, 500, 276.1526414772, 423.4345190810, 423.3102619670
35.0000000000, 500, 500, 289.9602735511, 444.1988044032, 444.0752576395
