F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.3798412150, 11.0181047438
35.0000000000, 2.2000000000, 34.3800052125, 11.3188803665
35.0000000000, 2.4200000000, 34.3801856097, 11.6497335514
35.0000000000, 2.6620000000, 34.3805587199, 12.0136720548
35.0000000000, 2.9282000000, 34.3810640252, 12.4140044086
35.0000000000, 3.2210200000, 34.3819915962, 12.8543699977
35.0000000000, 3.5431220000, 34.3832602255, 13.3387721458
35.0000000000, 3.8974342000, 34.3854774189, 13.8716145086
35.0000000000, 4.2871776200, 34.3890647566, 14.4577411078
35.0000000000, 4.7158953820, 34.3946835907, 15.1024803668
35.0000000000, 5.1874849202, 34.4036226719, 15.8116935518
35.0000000000, 5.7062334122, 34.4178952432, 16.5918280553
35.0000000000, 6.2768567534, 34.4404692849, 17.4499760091
35.0000000000, 6.9045424288, 34.4755021341, 18.3939387582
35.0000000000, 7.5949966717, 34.5305712730, 19.4322977824
35.0000000000, 8.3544963388, 34.6153933781, 20.5744927089
35.0000000000, 9.1899459727, 34.7436560597, 21.8309071280
35.0000000000, 10.1089405700, 34.9336368738, 23.2129629891
35.0000000000, 11.1198346270, 35.2120555711, 24.7332244363
35.0000000000, 12.2318180897, 35.6112133678, 26.4055120282
35.0000000000, 13.4549998987, 36.1675960726, 28.2450283793
35.0000000000, 14.8004998885, 36.9333730139, 30.2684963655
35.0000000000, 16.2805498774, 37.9544732091, 32.4943111504
35.0000000000, 17.9086048651, 39.2849330483, 34.9427074137
35.0000000000, 19.6994653516, 40.9795960053, 37.6359433034
35.0000000000, 21.6694118868, 43.0830352299, 40.5985027820
35.0000000000, 23.8363530755, 45.6358220624, 43.8573182084
35.0000000000, 26.2199883830, 48.6682842604, 47.4420151776
35.0000000000, 28.8419872213, 52.2020468260, 51.3851818436
35.0000000000, 31.7261859434, 56.2536453766, 55.7226651763
35.0000000000, 34.8988045378, 60.8373970073, 60.4938968422
35.0000000000, 38.3886849916, 65.9711656558, 65.7422516747
35.0000000000, 42.2275534907, 71.6792794633, 71.5154419904
35.0000000000, 46.4503088398, 77.9955977487, 77.8659513377
35.0000000000, 51.0953397238, 84.9646923445, 84.8515116198
35.0000000000, 56.2048736961, 92.6415491316, 92.5356279300
35.0000000000, 61.8253610657, 101.0911664669, 100.9881558713
35.0000000000, 68.0078971723, 110.3878928157, 110.2859366067
35.0000000000, 74.8086868895, 120.6151091246, 120.5134954157
35.0000000000, 82.2895555785, 131.8653241012, 131.7638101055
35.0000000000, 90.5185111364, 144.2406445215, 144.1391562644
35.0000000000, 99.5703622500, 157.8535196802, 157.7520370391
35.0000000000, 109.5273984750, 172.8276888548, 172.7262058913
35.0000000000, 120.4801383225, 189.2992813987, 189.1977916287
35.0000000000, 132.5281521547, 207.4180543018, 207.3165359398
35.0000000000, 145.7809673702, 227.3487766779, 227.2471546821
35.0000000000, 160.3590641072, 249.2727870770, 249.1708352986
35.0000000000, 176.3949705179, 273.3897369291, 273.2868839767
35.0000000000, 194.0344675697, 299.9193984073, 299.8145375227
35.0000000000, 213.4379143267, 329.1029382065, 328.9949564232
35.0000000000, 234.7817057594, 361.2019087214, 361.0934172138
