F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.4019563151, 11.0181047438
35.0000000000, 2.2000000000, 34.4093086050, 11.3188803665
35.0000000000, 2.4200000000, 34.4173961239, 11.6497335514
35.0000000000, 2.6620000000, 34.4292249213, 12.0136720548
35.0000000000, 2.9282000000, 34.4438295758, 12.4140044086
35.0000000000, 3.2210200000, 34.4647102548, 12.8543699977
35.0000000000, 3.5431220000, 34.4904829610, 13.3387721458
35.0000000000, 3.8974342000, 34.5265411957, 13.8716145086
35.0000000000, 4.2871776200, 34.5742493961, 14.4577411078
35.0000000000, 4.7158953820, 34.6364609406, 15.1024803668
35.0000000000, 5.1874849202, 34.7180979424, 15.8116935518
35.0000000000, 5.7062334122, 34.8250335725, 16.5918280553
35.0000000000, 6.2768567534, 34.9640585692, 17.4499760091
35.0000000000, 6.9045424288, 35.1428576054, 18.3939387582
35.0000000000, 7.5949966717, 35.3734768723, 19.4322977824
35.0000000000, 8.3544963388, 35.6679139066, 20.5744927089
35.0000000000, 9.1899459727, 36.0399949657, 21.8309071280
35.0000000000, 10.1089405700, 36.5059975007, 23.2129629891
35.0000000000, 11.1198346270, 37.0867777529, 24.7332244363
35.0000000000, 12.2318180897, 37.8038948200, 26.4055120282
35.0000000000, 13.4549998987, 38.6794549733, 28.2450283793
35.0000000000, 14.8004998885, 39.7441729887, 30.2684963655
35.0000000000, 16.2805498774, 41.0234451106, 32.4943111504
35.0000000000, 17.9086048651, 42.5486353440, 34.9427074137
35.0000000000, 19.6994653516, 44.3537911849, 37.6359433034
35.0000000000, 21.6694118868, 46.4714949004, 40.5985027820
35.0000000000, 23.8363530755, 48.9377202175, 43.8573182084
35.0000000000, 26.2199883830, 51.7890721269, 47.4420151776
35.0000000000, 28.8419872213, 55.0631430087, 51.3851818436
35.0000000000, 31.7261859434, 58.7993293516, 55.7226651763
35.0000000000, 34.8988045378, 63.0380624614, 60.4938968422
35.0000000000, 38.3886849916, 67.8224195194, 65.7422516747
35.0000000000, 42.2275534907, 73.1976312549, 71.5154419904
35.0000000000, 46.4503088398, 79.2121345556, 77.8659513377
35.0000000000, 51.0953397238, 85.9189503059, 84.8515116198
35.0000000000, 56.2048736961, 93.3756304221, 92.5356279300
35.0000000000, 61.8253610657, 101.6457653907, 100.9881558713
35.0000000000, 68.0078971723, 110.7998658079, 110.2859366067
35.0000000000, 74.8086868895, 120.9163784884, 120.5134954157
35.0000000000, 82.2895555785, 132.0824422740, 131.7638101055
35.0000000000, 90.5185111364, 144.3951626797, 144.1391562644
35.0000000000, 99.5703622500, 157.9625226211, 157.7520370391
35.0000000000, 109.5273984750, 172.9043916864, 172.7262058913
35.0000000000, 120.4801383225, 189.3536860138, 189.1977916287
35.0000000000, 132.5281521547, 207.4575101023, 207.3165359398
35.0000000000, 145.7809673702, 227.3784328901, 227.2471546821
35.0000000000, 160.3590641072, 249.2958736976, 249.1708352986
35.0000000000, 176.3949705179, 273.4076391384, 273.2868839767
35.0000000000, 194.0344675697, 299.9316201927, 299.8145375227
35.0000000000, 213.4379143267, 329.1076826706, 328.9949564232
35.0000000000, 234.7817057594, 361.1997648691, 361.0934172138
