F,I,J,S,V,VtoInf
35.0000000000, 54, 54, 17.3800000000, 41.5164917867, 34.1477501265
35.0000000000, 108, 108, 17.3800000000, 41.9385099948, 34.1477501265
35.0000000000, 216, 216, 17.3800000000, 42.0266023659, 34.1477501265
35.0000000000, 432, 432, 17.3800000000, 42.0458217312, 34.1477501265
35.0000000000, 864, 864, 17.3800000000, 42.0494199161, 34.1477501265
35.0000000000, 1728, 1728, 17.3800000000, 42.0497268399, 34.1477501265
35.0000000000, 3456, 3456, 17.3800000000, 42.0495078365, 34.1477501265
