F,I,J,S,V,VtoInf
35.0000000000, 42, 42, 17.3800000000, 41.5166636911, 34.1477501265
35.0000000000, 84, 84, 17.3800000000, 41.9385312004, 34.1477501265
35.0000000000, 168, 168, 17.3800000000, 42.0266070199, 34.1477501265
35.0000000000, 336, 336, 17.3800000000, 42.0458229707, 34.1477501265
35.0000000000, 672, 672, 17.3800000000, 42.0494202269, 34.1477501265
35.0000000000, 1344, 1344, 17.3800000000, 42.0497269175, 34.1477501265
35.0000000000, 2688, 2688, 17.3800000000, 42.0495078559, 34.1477501265
35.0000000000, 5376, 5376, 17.3800000000, 42.0495607472, 34.1477501265
35.0000000000, 10752, 10752, 17.3800000000, 42.0495643466, 34.1477501265
