F,I,J,S,V,VtoInf
35.0000000000, 128, 128, 17.3800000000, 42.0266157019, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 42.0458252404, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 42.0494207954, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 42.0497270594, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 42.0495078914, 34.1477501265
35.0000000000, 4096, 4096, 17.3800000000, 42.0495607560, 34.1477501265
35.0000000000, 8192, 8192, 17.3800000000, 42.0495643490, 34.1477501265
35.0000000000, 16384, 16384, 17.3800000000, 42.0495604364, 34.1477501265
