N,V
5, 39.7363464630
10, 41.5232707569
20, 41.9403852245
40, 42.0272844286
80, 42.0460972628
160, 42.0495316859
320, 42.0497658009
640, 42.0495125975
1280, 42.0495489484
2560, 42.0495444100
5120, 42.0495364613
