F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 37.6682398149, 32.6691213667
35.0000000000, 500, 500, 2.2000000000, 37.0897532852, 32.6883493090
35.0000000000, 500, 500, 2.4200000000, 37.2891593997, 32.7095000454
35.0000000000, 500, 500, 2.6620000000, 37.3344819139, 32.7327658556
35.0000000000, 500, 500, 2.9282000000, 37.3110044597, 32.7583582467
35.0000000000, 500, 500, 3.2210200000, 37.3401586374, 32.7865098770
35.0000000000, 500, 500, 3.5431220000, 37.3548914825, 32.8174766703
35.0000000000, 500, 500, 3.8974342000, 37.3741156766, 32.8515401429
35.0000000000, 500, 500, 4.2871776200, 37.3951143501, 32.8890099628
35.0000000000, 500, 500, 4.7158953820, 37.4182851551, 32.9302267646
35.0000000000, 500, 500, 5.1874849202, 37.4438756176, 32.9755652467
35.0000000000, 500, 500, 5.7062334122, 37.4721367347, 33.0254375770
35.0000000000, 500, 500, 6.2768567534, 37.5033614625, 33.0802971402
35.0000000000, 500, 500, 6.9045424288, 37.5378729136, 33.1406426599
35.0000000000, 500, 500, 7.5949966717, 37.5760379857, 33.2070227314
35.0000000000, 500, 500, 8.3544963388, 37.6182546113, 33.2800408102
35.0000000000, 500, 500, 9.1899459727, 37.6649832611, 33.3603606968
35.0000000000, 500, 500, 10.1089405700, 37.7167318830, 33.4487125720
35.0000000000, 500, 500, 11.1198346270, 37.7740608577, 33.5458996348
35.0000000000, 500, 500, 12.2318180897, 37.8376200850, 33.6528054039
35.0000000000, 500, 500, 13.4549998987, 37.9081287089, 33.7704017499
35.0000000000, 500, 500, 14.8004998885, 37.9863878712, 33.8997577305
35.0000000000, 500, 500, 16.2805498774, 38.0733156293, 34.0420493091
35.0000000000, 500, 500, 17.9086048651, 38.1699359290, 34.1985700456
35.0000000000, 500, 500, 19.6994653516, 38.2774076176, 34.3707428558
35.0000000000, 500, 500, 21.6694118868, 38.3970413271, 34.5601329469
35.0000000000, 500, 500, 23.8363530755, 38.5303173577, 34.7684620472
35.0000000000, 500, 500, 26.2199883830, 38.6789014197, 34.9976240575
35.0000000000, 500, 500, 28.8419872213, 38.8446835711, 35.2497022689
35.0000000000, 500, 500, 31.7261859434, 39.0297969176, 35.5269883013
35.0000000000, 500, 500, 34.8988045378, 39.2366592511, 35.8320029371
35.0000000000, 500, 500, 38.3886849916, 39.4679876706, 36.1675190363
35.0000000000, 500, 500, 42.2275534907, 39.7268671453, 36.5365867456
35.0000000000, 500, 500, 46.4503088398, 40.0167621380, 36.9425612257
35.0000000000, 500, 500, 51.0953397238, 40.3415849753, 37.3891331539
35.0000000000, 500, 500, 56.2048736961, 40.7057238342, 37.8803622749
35.0000000000, 500, 500, 61.8253610657, 41.1141125241, 38.4207143079
35.0000000000, 500, 500, 68.0078971723, 41.5722648786, 39.0151015443
35.0000000000, 500, 500, 74.8086868895, 42.0863368107, 39.6689275043
35.0000000000, 500, 500, 82.2895555785, 42.6631813832, 40.3881360604
35.0000000000, 500, 500, 90.5185111364, 43.3103742370, 41.1792654720
35.0000000000, 500, 500, 99.5703622500, 44.0361268502, 42.0495078248
35.0000000000, 500, 500, 109.5273984750, 44.8477957487, 43.0067744129
35.0000000000, 500, 500, 120.4801383225, 45.7329697435, 44.0597676597
35.0000000000, 500, 500, 132.5281521547, 46.3997577638, 45.2180602313
