F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.8397694181, 11.0181047438
35.0000000000, 2.2000000000, 34.8965051353, 11.3188803665
35.0000000000, 2.4200000000, 34.9589144243, 11.6497335514
35.0000000000, 2.6620000000, 35.0333827928, 12.0136720548
35.0000000000, 2.9282000000, 35.1184584751, 12.4140044086
35.0000000000, 3.2210200000, 35.2197198959, 12.8543699977
35.0000000000, 3.5431220000, 35.3353015921, 13.3387721458
35.0000000000, 3.8974342000, 35.4727631775, 13.8716145086
35.0000000000, 4.2871776200, 35.6333235694, 14.4577411078
35.0000000000, 4.7158953820, 35.8204216586, 15.1024803668
35.0000000000, 5.1874849202, 36.0393335238, 15.8116935518
35.0000000000, 5.7062334122, 36.2957680228, 16.5918280553
35.0000000000, 6.2768567534, 36.5959177114, 17.4499760091
35.0000000000, 6.9045424288, 36.9465154646, 18.3939387582
35.0000000000, 7.5949966717, 37.3573589554, 19.4322977824
35.0000000000, 8.3544963388, 37.8379616811, 20.5744927089
35.0000000000, 9.1899459727, 38.3990034715, 21.8309071280
35.0000000000, 10.1089405700, 39.0529551539, 23.2129629891
35.0000000000, 11.1198346270, 39.8153450422, 24.7332244363
35.0000000000, 12.2318180897, 40.7024590534, 26.4055120282
35.0000000000, 13.4549998987, 41.7315112395, 28.2450283793
35.0000000000, 14.8004998885, 42.9257824380, 30.2684963655
35.0000000000, 16.2805498774, 44.3063288307, 32.4943111504
35.0000000000, 17.9086048651, 45.8991499013, 34.9427074137
35.0000000000, 19.6994653516, 47.7335296203, 37.6359433034
35.0000000000, 21.6694118868, 49.8395742401, 40.5985027820
35.0000000000, 23.8363530755, 52.2515784714, 43.8573182084
35.0000000000, 26.2199883830, 55.0064004845, 47.4420151776
35.0000000000, 28.8419872213, 58.1437219789, 51.3851818436
35.0000000000, 31.7261859434, 61.7066966003, 55.7226651763
35.0000000000, 34.8988045378, 65.7411771305, 60.4938968422
35.0000000000, 38.3886849916, 70.2968901824, 65.7422516747
35.0000000000, 42.2275534907, 75.4266459744, 71.5154419904
35.0000000000, 46.4503088398, 81.1868186627, 77.8659513377
35.0000000000, 51.0953397238, 87.6384012303, 84.8515116198
35.0000000000, 56.2048736961, 94.8462975045, 92.5356279300
35.0000000000, 61.8253610657, 102.8805203750, 100.9881558713
35.0000000000, 68.0078971723, 111.8167745858, 110.2859366067
35.0000000000, 74.8086868895, 121.7373559759, 120.5134954157
35.0000000000, 82.2895555785, 132.7316014198, 131.7638101055
35.0000000000, 90.5185111364, 144.8974736315, 144.1391562644
35.0000000000, 99.5703622500, 158.3425611528, 157.7520370391
35.0000000000, 109.5273984750, 173.1852401428, 172.7262058913
35.0000000000, 120.4801383225, 189.5562149862, 189.1977916287
35.0000000000, 132.5281521547, 207.5998956703, 207.3165359398
35.0000000000, 145.7809673702, 227.4759527710, 227.2471546821
35.0000000000, 160.3590641072, 249.3609061784, 249.1708352986
35.0000000000, 176.3949705179, 273.4498149625, 273.2868839767
35.0000000000, 194.0344675697, 299.9580104288, 299.8145375227
35.0000000000, 213.4379143267, 329.1229272273, 328.9949564232
35.0000000000, 234.7817057594, 361.2059853951, 361.0934172138
