F,I,J,S,V,VtoInf
35.0000000000, 5, 5, 17.3800000000, 41.4360780561, 34.1477501265
35.0000000000, 10, 10, 17.3800000000, 42.3161211746, 34.1477501265
35.0000000000, 20, 20, 17.3800000000, 42.0854039552, 34.1477501265
35.0000000000, 40, 40, 17.3800000000, 42.0562345923, 34.1477501265
35.0000000000, 80, 80, 17.3800000000, 42.0532839645, 34.1477501265
35.0000000000, 160, 160, 17.3800000000, 42.0487516200, 34.1477501265
35.0000000000, 320, 320, 17.3800000000, 42.0496760426, 34.1477501265
35.0000000000, 640, 640, 17.3800000000, 42.0496197485, 34.1477501265
35.0000000000, 1280, 1280, 17.3800000000, 42.0495544130, 34.1477501265
35.0000000000, 2560, 2560, 17.3800000000, 42.0495618834, 34.1477501265
35.0000000000, 5120, 5120, 17.3800000000, 42.0495574292, 34.1477501265
35.0000000000, 10240, 10240, 17.3800000000, 42.0495572552, 34.1477501265
