F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.4222525197, 11.0181047438
35.0000000000, 500, 500, 2.2000000000, 34.4322108791, 11.3188803665
35.0000000000, 500, 500, 2.4200000000, 34.4452406503, 11.6497335514
35.0000000000, 500, 500, 2.6620000000, 34.4617023917, 12.0136720548
35.0000000000, 500, 500, 2.9282000000, 34.4826947033, 12.4140044086
35.0000000000, 500, 500, 3.2210200000, 34.5095587857, 12.8543699977
35.0000000000, 500, 500, 3.5431220000, 34.5438989078, 13.3387721458
35.0000000000, 500, 500, 3.8974342000, 34.5876705398, 13.8716145086
35.0000000000, 500, 500, 4.2871776200, 34.6447151895, 14.4577411078
35.0000000000, 500, 500, 4.7158953820, 34.7166102266, 15.1024803668
35.0000000000, 500, 500, 5.1874849202, 34.8094911240, 15.8116935518
35.0000000000, 500, 500, 5.7062334122, 34.9273624321, 16.5918280553
35.0000000000, 500, 500, 6.2768567534, 35.0770505218, 17.4499760091
35.0000000000, 500, 500, 6.9045424288, 35.2663365204, 18.3939387582
35.0000000000, 500, 500, 7.5949966717, 35.5055758270, 19.4322977824
35.0000000000, 500, 500, 8.3544963388, 35.8052197672, 20.5744927089
35.0000000000, 500, 500, 9.1899459727, 36.1800620042, 21.8309071280
35.0000000000, 500, 500, 10.1089405700, 36.6461179390, 23.2129629891
35.0000000000, 500, 500, 11.1198346270, 37.2205069047, 24.7332244363
35.0000000000, 500, 500, 12.2318180897, 37.9259635912, 26.4055120282
35.0000000000, 500, 500, 13.4549998987, 38.7863317110, 28.2450283793
35.0000000000, 500, 500, 14.8004998885, 39.8271064629, 30.2684963655
35.0000000000, 500, 500, 16.2805498774, 41.0783962091, 32.4943111504
35.0000000000, 500, 500, 17.9086048651, 42.5713979822, 34.9427074137
35.0000000000, 500, 500, 19.6994653516, 44.3399430364, 37.6359433034
35.0000000000, 500, 500, 21.6694118868, 46.4199499308, 40.5985027820
35.0000000000, 500, 500, 23.8363530755, 48.8488409667, 43.8573182084
35.0000000000, 500, 500, 26.2199883830, 51.6648346275, 47.4420151776
35.0000000000, 500, 500, 28.8419872213, 54.9078318892, 51.3851818436
35.0000000000, 500, 500, 31.7261859434, 58.6185866570, 55.7226651763
35.0000000000, 500, 500, 34.8988045378, 62.8393175586, 60.4938968422
35.0000000000, 500, 500, 38.3886849916, 67.6131810481, 65.7422516747
35.0000000000, 500, 500, 42.2275534907, 72.9859036941, 71.5154419904
35.0000000000, 500, 500, 46.4503088398, 79.0054844706, 77.8659513377
35.0000000000, 500, 500, 51.0953397238, 85.7237214331, 84.8515116198
35.0000000000, 500, 500, 56.2048736961, 93.1968306816, 92.5356279300
35.0000000000, 500, 500, 61.8253610657, 101.4868253018, 100.9881558713
35.0000000000, 500, 500, 68.0078971723, 110.6624326414, 110.2859366067
35.0000000000, 500, 500, 74.8086868895, 120.8003186279, 120.5134954157
35.0000000000, 500, 500, 82.2895555785, 131.9861467671, 131.7638101055
35.0000000000, 500, 500, 90.5185111364, 144.3155587758, 144.1391562644
35.0000000000, 500, 500, 99.5703622500, 157.8951688602, 157.7520370391
35.0000000000, 500, 500, 109.5273984750, 172.8434821869, 172.7262058913
35.0000000000, 500, 500, 120.4801383225, 189.2917565721, 189.1977916287
35.0000000000, 500, 500, 132.5281521547, 207.3848267206, 207.3165359398
