F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.4451538604, 11.0181047438
35.0000000000, 2.2000000000, 34.4593893487, 11.3188803665
35.0000000000, 2.4200000000, 34.4750483859, 11.6497335514
35.0000000000, 2.6620000000, 34.4957480378, 12.0136720548
35.0000000000, 2.9282000000, 34.5204051522, 12.4140044086
35.0000000000, 3.2210200000, 34.5527346345, 12.8543699977
35.0000000000, 3.5431220000, 34.5912521145, 13.3387721458
35.0000000000, 3.8974342000, 34.6414102587, 13.8716145086
35.0000000000, 4.2871776200, 34.7043183002, 14.4577411078
35.0000000000, 4.7158953820, 34.7826490744, 15.1024803668
35.0000000000, 5.1874849202, 34.8809095345, 15.8116935518
35.0000000000, 5.7062334122, 35.0043560918, 16.5918280553
35.0000000000, 6.2768567534, 35.1590115104, 17.4499760091
35.0000000000, 6.9045424288, 35.3516901923, 18.3939387582
35.0000000000, 7.5949966717, 35.5930383018, 19.4322977824
35.0000000000, 8.3544963388, 35.8937725506, 20.5744927089
35.0000000000, 9.1899459727, 36.2664130550, 21.8309071280
35.0000000000, 10.1089405700, 36.7259072630, 23.2129629891
35.0000000000, 11.1198346270, 37.2916692294, 24.7332244363
35.0000000000, 12.2318180897, 37.9843450429, 26.4055120282
35.0000000000, 13.4549998987, 38.8256976416, 28.2450283793
35.0000000000, 14.8004998885, 39.8462508551, 30.2684963655
35.0000000000, 16.2805498774, 41.0724424339, 32.4943111504
35.0000000000, 17.9086048651, 42.5371704255, 34.9427074137
35.0000000000, 19.6994653516, 44.2768845619, 37.6359433034
35.0000000000, 21.6694118868, 46.3272084991, 40.5985027820
35.0000000000, 23.8363530755, 48.7276534680, 43.8573182084
35.0000000000, 26.2199883830, 51.5185350849, 47.4420151776
35.0000000000, 28.8419872213, 54.7409508489, 51.3851818436
35.0000000000, 31.7261859434, 58.4373240282, 55.7226651763
35.0000000000, 34.8988045378, 62.6501782143, 60.4938968422
35.0000000000, 38.3886849916, 67.4236691287, 65.7422516747
35.0000000000, 42.2275534907, 72.8028312334, 71.5154419904
35.0000000000, 46.4503088398, 78.8347283200, 77.8659513377
35.0000000000, 51.0953397238, 85.5700845783, 84.8515116198
35.0000000000, 56.2048736961, 93.0634250703, 92.5356279300
35.0000000000, 61.8253610657, 101.3750311904, 100.9881558713
35.0000000000, 68.0078971723, 110.5721846595, 110.2859366067
35.0000000000, 74.8086868895, 120.7304914735, 120.5134954157
35.0000000000, 82.2895555785, 131.9349058118, 131.7638101055
35.0000000000, 90.5185111364, 144.2810881891, 144.1391562644
35.0000000000, 99.5703622500, 157.8763211382, 157.7520370391
35.0000000000, 109.5273984750, 172.8404527121, 172.7262058913
35.0000000000, 120.4801383225, 189.3068907786, 189.1977916287
35.0000000000, 132.5281521547, 207.4235914583, 207.3165359398
35.0000000000, 145.7809673702, 227.3541641478, 227.2471546821
35.0000000000, 160.3590641072, 249.2790908383, 249.1708352986
35.0000000000, 176.3949705179, 273.3970721003, 273.2868839767
35.0000000000, 194.0344675697, 299.9264861808, 299.8145375227
35.0000000000, 213.4379143267, 329.1069575810, 328.9949564232
35.0000000000, 234.7817057594, 361.2010595429, 361.0934172138
