F,I,J,S,V,VtoInf
35.0000000000, 24, 24, 17.3800000000, 41.5174513419, 34.1477501265
35.0000000000, 48, 48, 17.3800000000, 41.9386426727, 34.1477501265
35.0000000000, 96, 96, 17.3800000000, 42.0266321023, 34.1477501265
35.0000000000, 192, 192, 17.3800000000, 42.0458294749, 34.1477501265
35.0000000000, 384, 384, 17.3800000000, 42.0494218599, 34.1477501265
35.0000000000, 768, 768, 17.3800000000, 42.0497273274, 34.1477501265
35.0000000000, 1536, 1536, 17.3800000000, 42.0495079591, 34.1477501265
35.0000000000, 3072, 3072, 17.3800000000, 42.0495607729, 34.1477501265
