F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.8863385209, 11.0181047438
35.0000000000, 500, 500, 2.2000000000, 34.9533428872, 11.3188803665
35.0000000000, 500, 500, 2.4200000000, 35.0324991456, 11.6497335514
35.0000000000, 500, 500, 2.6620000000, 35.1246329829, 12.0136720548
35.0000000000, 500, 500, 2.9282000000, 35.2322966988, 12.4140044086
35.0000000000, 500, 500, 3.2210200000, 35.3582505129, 12.8543699977
35.0000000000, 500, 500, 3.5431220000, 35.5054858098, 13.3387721458
35.0000000000, 500, 500, 3.8974342000, 35.6773510314, 13.8716145086
35.0000000000, 500, 500, 4.2871776200, 35.8796559417, 14.4577411078
35.0000000000, 500, 500, 4.7158953820, 36.1145650127, 15.1024803668
35.0000000000, 500, 500, 5.1874849202, 36.3899574348, 15.8116935518
35.0000000000, 500, 500, 5.7062334122, 36.7104410439, 16.5918280553
35.0000000000, 500, 500, 6.2768567534, 37.0834888523, 17.4499760091
35.0000000000, 500, 500, 6.9045424288, 37.5169622375, 18.3939387582
35.0000000000, 500, 500, 7.5949966717, 38.0205137984, 19.4322977824
35.0000000000, 500, 500, 8.3544963388, 38.6034267087, 20.5744927089
35.0000000000, 500, 500, 9.1899459727, 39.2779552513, 21.8309071280
35.0000000000, 500, 500, 10.1089405700, 40.0567513690, 23.2129629891
35.0000000000, 500, 500, 11.1198346270, 40.9530729410, 24.7332244363
35.0000000000, 500, 500, 12.2318180897, 41.9836275576, 26.4055120282
35.0000000000, 500, 500, 13.4549998987, 43.1657269549, 28.2450283793
35.0000000000, 500, 500, 14.8004998885, 44.5179437790, 30.2684963655
35.0000000000, 500, 500, 16.2805498774, 46.0618855844, 32.4943111504
35.0000000000, 500, 500, 17.9086048651, 47.8204809675, 34.9427074137
35.0000000000, 500, 500, 19.6994653516, 49.8190964192, 37.6359433034
35.0000000000, 500, 500, 21.6694118868, 52.0855378503, 40.5985027820
35.0000000000, 500, 500, 23.8363530755, 54.6500788636, 43.8573182084
35.0000000000, 500, 500, 26.2199883830, 57.5454146948, 47.4420151776
35.0000000000, 500, 500, 28.8419872213, 60.8074042988, 51.3851818436
35.0000000000, 500, 500, 31.7261859434, 64.4748952706, 55.7226651763
35.0000000000, 500, 500, 34.8988045378, 68.5902485315, 60.4938968422
35.0000000000, 500, 500, 38.3886849916, 73.1991144284, 65.7422516747
35.0000000000, 500, 500, 42.2275534907, 78.3514153281, 71.5154419904
35.0000000000, 500, 500, 46.4503088398, 84.1010369975, 77.8659513377
35.0000000000, 500, 500, 51.0953397238, 90.5066256594, 84.8515116198
35.0000000000, 500, 500, 56.2048736961, 97.6316808654, 92.5356279300
35.0000000000, 500, 500, 61.8253610657, 105.5452320997, 100.9881558713
35.0000000000, 500, 500, 68.0078971723, 114.3221012891, 110.2859366067
35.0000000000, 500, 500, 74.8086868895, 124.0435046818, 120.5134954157
35.0000000000, 500, 500, 82.2895555785, 134.7975800680, 131.7638101055
35.0000000000, 500, 500, 90.5185111364, 146.6798737443, 144.1391562644
35.0000000000, 500, 500, 99.5703622500, 159.7939672502, 157.7520370391
35.0000000000, 500, 500, 109.5273984750, 174.2521000050, 172.7262058913
35.0000000000, 500, 500, 120.4801383225, 190.1757558377, 189.1977916287
35.0000000000, 500, 500, 132.5281521547, 207.6963266195, 207.3165359398
