F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.4446281562, 11.0157916636
35.0000000000, 500, 500, 2.2000000000, 34.4575603592, 11.3165973653
35.0000000000, 500, 500, 2.4200000000, 34.4739820537, 11.6474836372
35.0000000000, 500, 500, 2.6620000000, 34.4942560529, 12.0114585363
35.0000000000, 500, 500, 2.9282000000, 34.5195080416, 12.4118309253
35.0000000000, 500, 500, 3.2210200000, 34.5510849006, 12.8522405532
35.0000000000, 500, 500, 3.5431220000, 34.5905744610, 13.3366911439
35.0000000000, 500, 500, 3.8974342000, 34.6398914133, 13.8695867937
35.0000000000, 500, 500, 4.2871776200, 34.7027513367, 14.4557720084
35.0000000000, 500, 500, 4.7158953820, 34.7806621935, 15.1005757446
35.0000000000, 500, 500, 5.1874849202, 34.8794788380, 15.8098598545
35.0000000000, 500, 500, 5.7062334122, 35.0030046498, 16.5900723753
35.0000000000, 500, 500, 6.2768567534, 35.1577150180, 17.4483061482
35.0000000000, 500, 500, 6.9045424288, 35.3509910032, 18.3923632983
35.0000000000, 500, 500, 7.5949966717, 35.5926623151, 19.4308261635
35.0000000000, 500, 500, 8.3544963388, 35.8927147475, 20.5731353153
35.0000000000, 500, 500, 9.1899459727, 36.2653148315, 21.8296753822
35.0000000000, 500, 500, 10.1089405700, 36.7259409539, 23.2118694557
35.0000000000, 500, 500, 11.1198346270, 37.2913064929, 24.7322829367
35.0000000000, 500, 500, 12.2318180897, 37.9837250602, 26.4047377657
35.0000000000, 500, 500, 13.4549998987, 38.8269088001, 28.2444380776
35.0000000000, 500, 500, 14.8004998885, 39.8465014733, 30.2681084208
35.0000000000, 500, 500, 16.2805498774, 41.0730262855, 32.4941457982
35.0000000000, 500, 500, 17.9086048651, 42.5384737944, 34.9427869134
35.0000000000, 500, 500, 19.6994653516, 44.2778034977, 37.6362921401
35.0000000000, 500, 500, 21.6694118868, 46.3283688172, 40.5991478895
35.0000000000, 500, 500, 23.8363530755, 48.7292364368, 43.8582892138
35.0000000000, 500, 500, 26.2199883830, 51.5203138838, 47.4433446705
35.0000000000, 500, 500, 28.8419872213, 54.7431071839, 51.3869056730
35.0000000000, 500, 500, 31.7261859434, 58.4396875480, 55.7248227756
35.0000000000, 500, 500, 34.8988045378, 62.6531678617, 60.4965315886
35.0000000000, 500, 500, 38.3886849916, 67.4270099616, 65.7454112828
35.0000000000, 500, 500, 42.2275534907, 72.8066762420, 71.5191789464
35.0000000000, 500, 500, 46.4503088398, 78.8393052932, 77.8703233764
35.0000000000, 500, 500, 51.0953397238, 85.5753877861, 84.8565822494
35.0000000000, 500, 500, 56.2048736961, 93.0695437973, 92.5414670098
35.0000000000, 500, 500, 61.8253610657, 101.3821192981, 100.9948402461
35.0000000000, 500, 500, 68.0078971723, 110.5803050385, 110.2935508061
35.0000000000, 500, 500, 74.8086868895, 120.7395261780, 120.5221324220
35.0000000000, 500, 500, 82.2895555785, 131.9445930900, 131.7735721996
35.0000000000, 500, 500, 90.5185111364, 144.2906973686, 144.1501559549
35.0000000000, 500, 500, 99.5703622500, 157.8843320679, 157.7643980858
35.0000000000, 500, 500, 109.5273984750, 172.8440732019, 172.7400644298
35.0000000000, 500, 500, 120.4801383225, 189.3012867689, 189.2132974081
35.0000000000, 500, 500, 132.5281521547, 207.4008233679, 207.3338536843
