F,I,J,S,V,VtoInf
35.0000000000, 4, 4, 17.3800000000, 47.5368971428, 34.1477501265
35.0000000000, 8, 8, 17.3800000000, 39.7336832927, 34.1477501265
35.0000000000, 16, 16, 17.3800000000, 41.5188178076, 34.1477501265
35.0000000000, 32, 32, 17.3800000000, 41.9388655002, 34.1477501265
35.0000000000, 64, 64, 17.3800000000, 42.0266863830, 34.1477501265
35.0000000000, 128, 128, 17.3800000000, 42.0458448099, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 42.0494264072, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 42.0497287338, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 42.0495083571, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 42.0495608064, 34.1477501265
35.0000000000, 4096, 4096, 17.3800000000, 42.0495642391, 34.1477501265
35.0000000000, 8192, 8192, 17.3800000000, 42.0495602566, 34.1477501265
35.0000000000, 16384, 16384, 17.3800000000, 42.0495612940, 34.1477501265
