N,V
5, 46.4145455942
10, 42.2467613057
20, 40.3714160645
40, 40.2699335041
80, 40.0922960833
160, 40.1106777007
320, 40.1148638260
640, 40.1157231119
1280, 40.1158439708
2560, 40.1158932656
