N,V
5, 39.7306383467
10, 41.5211620891
20, 41.9394077352
40, 42.0267923008
80, 42.0458471972
160, 42.0494052505
320, 42.0497021821
640, 42.0494806815
1280, 42.0495329630
2560, 42.0495364103
5120, 42.0495324598
