F,S,V,VtoINF
35.0000000000, 2.0000000000, 35.6840191571, 27.5209957747
35.0000000000, 2.2000000000, 35.9063581998, 27.6071694333
35.0000000000, 2.4200000000, 36.1509311467, 27.7019604579
35.0000000000, 2.6620000000, 36.2218448588, 27.8062305849
35.0000000000, 2.9282000000, 36.1922310866, 27.9209277246
35.0000000000, 3.2210200000, 36.2317231813, 28.0470945782
35.0000000000, 3.5431220000, 36.2992052126, 28.1858781172
35.0000000000, 3.8974342000, 36.3612518862, 28.3385400102
35.0000000000, 4.2871776200, 36.4309382905, 28.5064680924
35.0000000000, 4.7158953820, 36.5090252612, 28.6911889828
35.0000000000, 5.1874849202, 36.5965948097, 28.8943819623
35.0000000000, 5.7062334122, 36.6949359480, 29.1178942398
35.0000000000, 6.2768567534, 36.8054852042, 29.3637577450
35.0000000000, 6.9045424288, 36.9298320774, 29.6342076007
35.0000000000, 7.5949966717, 37.0700800593, 29.9317024419
35.0000000000, 8.3544963388, 37.2284070380, 30.2589467673
35.0000000000, 9.1899459727, 37.4072856610, 30.6189155253
35.0000000000, 10.1089405700, 37.6095817932, 31.0148811590
35.0000000000, 11.1198346270, 37.8387986320, 31.4504433561
35.0000000000, 12.2318180897, 38.0987599393, 31.9295617729
35.0000000000, 13.4549998987, 38.3936432253, 32.4565920314
35.0000000000, 14.8004998885, 38.7289138791, 33.0363253157
35.0000000000, 16.2805498774, 39.1099408926, 33.6740319285
35.0000000000, 17.9086048651, 39.5432911014, 34.3755092026
35.0000000000, 19.6994653516, 40.0365445914, 35.1471342040
35.0000000000, 21.6694118868, 40.5978398129, 35.9959217056
35.0000000000, 23.8363530755, 41.2366182987, 36.9295879574
35.0000000000, 26.2199883830, 41.9633568900, 37.9566208343
35.0000000000, 28.8419872213, 42.7896596752, 39.0863569990
35.0000000000, 31.7261859434, 43.7284684626, 40.3290667801
35.0000000000, 34.8988045378, 44.7938792837, 41.6960475393
35.0000000000, 38.3886849916, 46.0014754215, 43.1997263744
35.0000000000, 42.2275534907, 47.3680768452, 44.8537730931
35.0000000000, 46.4503088398, 48.9118049384, 46.6732244836
35.0000000000, 51.0953397238, 50.6523639407, 48.6746210132
35.0000000000, 56.2048736961, 52.6106557859, 50.8761571957
35.0000000000, 61.8253610657, 54.8090367876, 53.2978469965
35.0000000000, 68.0078971723, 57.2713510546, 55.9617057773
35.0000000000, 74.8086868895, 60.0230865642, 58.8919504362
35.0000000000, 82.2895555785, 63.0912931299, 62.1152195611
35.0000000000, 90.5185111364, 66.5050504040, 65.6608155984
35.0000000000, 99.5703622500, 70.2956859031, 69.5609712394
35.0000000000, 109.5273984750, 74.4970729605, 73.8511424446
35.0000000000, 120.4801383225, 79.1461687507, 78.5703307702
35.0000000000, 132.5281521547, 84.2834779094, 83.7614379285
35.0000000000, 145.7809673702, 89.9536243692, 89.4716558025
35.0000000000, 160.3590641072, 96.2059157054, 95.7528954640
35.0000000000, 176.3949705179, 103.0948328897, 102.6622590916
35.0000000000, 194.0344675697, 110.6798356788, 110.2625590819
35.0000000000, 213.4379143267, 119.0211560358, 118.6228890713
35.0000000000, 234.7817057594, 128.1501342152, 127.8192520597
