F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.4451134107, 11.0157916636
35.0000000000, 2.2000000000, 34.4593443509, 11.3165973653
35.0000000000, 2.4200000000, 34.4749983851, 11.6474836372
35.0000000000, 2.6620000000, 34.4956924241, 12.0114585363
35.0000000000, 2.9282000000, 34.5203433049, 12.4118309253
35.0000000000, 3.2210200000, 34.5526659597, 12.8522405532
35.0000000000, 3.5431220000, 34.5911759780, 13.3366911439
35.0000000000, 3.8974342000, 34.6413261866, 13.8695867937
35.0000000000, 4.2871776200, 34.7042259505, 14.4557720084
35.0000000000, 4.7158953820, 34.7825482689, 15.1005757446
35.0000000000, 5.1874849202, 34.8808004506, 15.8098598545
35.0000000000, 5.7062334122, 35.0042394121, 16.5900723753
35.0000000000, 6.2768567534, 35.1588885674, 17.4483061482
35.0000000000, 6.9045424288, 35.3515631082, 18.3923632983
35.0000000000, 7.5949966717, 35.5929105437, 19.4308261635
35.0000000000, 8.3544963388, 35.8936490113, 20.5731353153
35.0000000000, 9.1899459727, 36.2663003606, 21.8296753822
35.0000000000, 10.1089405700, 36.7258141368, 23.2118694557
35.0000000000, 11.1198346270, 37.2916071997, 24.7322829367
35.0000000000, 12.2318180897, 37.9843286116, 26.4047377657
35.0000000000, 13.4549998987, 38.8257443724, 28.2444380776
35.0000000000, 14.8004998885, 39.8463826693, 30.2681084208
35.0000000000, 16.2805498774, 41.0726847331, 32.4941457982
35.0000000000, 17.9086048651, 42.5375528778, 34.9427869134
35.0000000000, 19.6994653516, 44.2774413153, 37.6362921401
35.0000000000, 21.6694118868, 46.3279776468, 40.5991478895
35.0000000000, 23.8363530755, 48.7286771922, 43.8582892138
35.0000000000, 26.2199883830, 51.5198592875, 47.4433446705
35.0000000000, 28.8419872213, 54.7426247957, 51.3869056730
35.0000000000, 31.7261859434, 58.4394000895, 55.7248227756
35.0000000000, 34.8988045378, 62.6527115435, 60.4965315886
35.0000000000, 38.3886849916, 67.4267176181, 65.7454112828
35.0000000000, 42.2275534907, 72.8064555458, 71.5191789464
35.0000000000, 46.4503088398, 78.8389922085, 77.8703233764
35.0000000000, 51.0953397238, 85.5750554707, 84.8565822494
35.0000000000, 56.2048736961, 93.0691748371, 92.5414670098
35.0000000000, 61.8253610657, 101.3816371355, 100.9948402461
35.0000000000, 68.0078971723, 110.5797306391, 110.2935508061
35.0000000000, 74.8086868895, 120.7390690889, 120.5221324220
35.0000000000, 82.2895555785, 131.9446156494, 131.7735721996
35.0000000000, 90.5185111364, 144.2920410470, 144.1501559549
35.0000000000, 99.5703622500, 157.8886392502, 157.7643980858
35.0000000000, 109.5273984750, 172.8542709793, 172.7400644298
35.0000000000, 120.4801383225, 189.3223580285, 189.2132974081
35.0000000000, 132.5281521547, 207.4408717739, 207.3338536843
35.0000000000, 145.7809673702, 227.3734383050, 227.2664655881
35.0000000000, 160.3590641072, 249.3005578995, 249.1923386822
35.0000000000, 176.3949705179, 273.4209512237, 273.3107990858
35.0000000000, 194.0344675697, 299.9530187381, 299.8411055298
35.0000000000, 213.4379143267, 329.1364097326, 329.0244426181
35.0000000000, 234.7817057594, 361.2337254980, 361.1261134153
