F,I,J,S,V,VtoInf
35.0000000000, 4, 4, 17.3800000000, 39.7660570969, 34.1477501265
35.0000000000, 8, 8, 17.3800000000, 41.5338794087, 34.1477501265
35.0000000000, 16, 16, 17.3800000000, 41.9441967923, 34.1477501265
35.0000000000, 32, 32, 17.3800000000, 42.0290388703, 34.1477501265
35.0000000000, 64, 64, 17.3800000000, 42.0468952662, 34.1477501265
35.0000000000, 128, 128, 17.3800000000, 42.0498559761, 34.1477501265
35.0000000000, 256, 256, 17.3800000000, 42.0498548099, 34.1477501265
35.0000000000, 512, 512, 17.3800000000, 42.0494843334, 34.1477501265
35.0000000000, 1024, 1024, 17.3800000000, 42.0494621302, 34.1477501265
35.0000000000, 2048, 2048, 17.3800000000, 42.0494283351, 34.1477501265
35.0000000000, 4096, 4096, 17.3800000000, 42.0494057649, 34.1477501265
35.0000000000, 8192, 8192, 17.3800000000, 42.0493975121, 34.1477501265
35.0000000000, 16384, 16384, 17.3800000000, 42.0493930306, 34.1477501265
