F,I,J,S,V,VtoInf
35.0000000000, 26, 26, 17.3800000000, 41.5172861964, 34.1477501265
35.0000000000, 52, 52, 17.3800000000, 41.9386180823, 34.1477501265
35.0000000000, 104, 104, 17.3800000000, 42.0266265154, 34.1477501265
35.0000000000, 208, 208, 17.3800000000, 42.0458280346, 34.1477501265
35.0000000000, 416, 416, 17.3800000000, 42.0494214961, 34.1477501265
35.0000000000, 832, 832, 17.3800000000, 42.0497272350, 34.1477501265
35.0000000000, 1664, 1664, 17.3800000000, 42.0495079355, 34.1477501265
35.0000000000, 3328, 3328, 17.3800000000, 42.0495607670, 34.1477501265
35.0000000000, 6656, 6656, 17.3800000000, 42.0495643516, 34.1477501265
35.0000000000, 13312, 13312, 17.3800000000, 42.0495604369, 34.1477501265
