F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.4012260517, 11.0181047438
35.0000000000, 500, 500, 2.2000000000, 34.4075305661, 11.3188803665
35.0000000000, 500, 500, 2.4200000000, 34.4162091454, 11.6497335514
35.0000000000, 500, 500, 2.6620000000, 34.4276113303, 12.0136720548
35.0000000000, 500, 500, 2.9282000000, 34.4427405801, 12.4140044086
35.0000000000, 500, 500, 3.2210200000, 34.4628695238, 12.8543699977
35.0000000000, 500, 500, 3.5431220000, 34.4895648812, 13.3387721458
35.0000000000, 500, 500, 3.8974342000, 34.5247780769, 13.8716145086
35.0000000000, 500, 500, 4.2871776200, 34.5724083854, 14.4577411078
35.0000000000, 500, 500, 4.7158953820, 34.6341394361, 15.1024803668
35.0000000000, 500, 500, 5.1874849202, 34.7163782152, 15.8116935518
35.0000000000, 500, 500, 5.7062334122, 34.8234060938, 16.5918280553
35.0000000000, 500, 500, 6.2768567534, 34.9625017683, 17.4499760091
35.0000000000, 500, 500, 6.9045424288, 35.1419997285, 18.3939387582
35.0000000000, 500, 500, 7.5949966717, 35.3730028401, 19.4322977824
35.0000000000, 500, 500, 8.3544963388, 35.6666582896, 20.5744927089
35.0000000000, 500, 500, 9.1899459727, 36.0386997838, 21.8309071280
35.0000000000, 500, 500, 10.1089405700, 36.5059837984, 23.2129629891
35.0000000000, 500, 500, 11.1198346270, 37.0862978454, 24.7332244363
35.0000000000, 500, 500, 12.2318180897, 37.8031030725, 26.4055120282
35.0000000000, 500, 500, 13.4549998987, 38.6805836806, 28.2450283793
35.0000000000, 500, 500, 14.8004998885, 39.7442045943, 30.2684963655
35.0000000000, 500, 500, 16.2805498774, 41.0237295448, 32.4943111504
35.0000000000, 500, 500, 17.9086048651, 42.5495179094, 34.9427074137
35.0000000000, 500, 500, 19.6994653516, 44.3541509179, 37.6359433034
35.0000000000, 500, 500, 21.6694118868, 46.4719159884, 40.5985027820
35.0000000000, 500, 500, 23.8363530755, 48.9383332641, 43.8573182084
35.0000000000, 500, 500, 26.2199883830, 51.7896308258, 47.4420151776
35.0000000000, 500, 500, 28.8419872213, 55.0637723683, 51.3851818436
35.0000000000, 500, 500, 31.7261859434, 58.7998373122, 55.7226651763
35.0000000000, 500, 500, 34.8988045378, 63.0387689876, 60.4938968422
35.0000000000, 500, 500, 38.3886849916, 67.8230266599, 65.7422516747
35.0000000000, 500, 500, 42.2275534907, 73.1981963159, 71.5154419904
35.0000000000, 500, 500, 46.4503088398, 79.2127537227, 77.8659513377
35.0000000000, 500, 500, 51.0953397238, 85.9194636731, 84.8515116198
35.0000000000, 500, 500, 56.2048736961, 93.3758891298, 92.5356279300
35.0000000000, 500, 500, 61.8253610657, 101.6455849579, 100.9881558713
35.0000000000, 500, 500, 68.0078971723, 110.7988492909, 110.2859366067
35.0000000000, 500, 500, 74.8086868895, 120.9137859196, 120.5134954157
35.0000000000, 500, 500, 82.2895555785, 132.0772474173, 131.7638101055
35.0000000000, 500, 500, 90.5185111364, 144.3857406835, 144.1391562644
35.0000000000, 500, 500, 99.5703622500, 157.9463953114, 157.7520370391
35.0000000000, 500, 500, 109.5273984750, 172.8778911439, 172.7262058913
35.0000000000, 500, 500, 120.4801383225, 189.3113376848, 189.1977916287
35.0000000000, 500, 500, 132.5281521547, 207.3911292202, 207.3165359398
