F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.5816847953, 11.0181047438
35.0000000000, 2.2000000000, 34.6139306210, 11.3188803665
35.0000000000, 2.4200000000, 34.6494010293, 11.6497335514
35.0000000000, 2.6620000000, 34.6934435560, 12.0136720548
35.0000000000, 2.9282000000, 34.7446200072, 12.4140044086
35.0000000000, 3.2210200000, 34.8078860642, 12.8543699977
35.0000000000, 3.5431220000, 34.8813428072, 13.3387721458
35.0000000000, 3.8974342000, 34.9719140349, 13.8716145086
35.0000000000, 4.2871776200, 35.0807116070, 14.4577411078
35.0000000000, 4.7158953820, 35.2108712236, 15.1024803668
35.0000000000, 5.1874849202, 35.3674460967, 15.8116935518
35.0000000000, 5.7062334122, 35.5560500861, 16.5918280553
35.0000000000, 6.2768567534, 35.7828853885, 17.4499760091
35.0000000000, 6.9045424288, 36.0547809704, 18.3939387582
35.0000000000, 7.5949966717, 36.3820428607, 19.4322977824
35.0000000000, 8.3544963388, 36.7747512760, 20.5744927089
35.0000000000, 9.1899459727, 37.2443846563, 21.8309071280
35.0000000000, 10.1089405700, 37.8044730768, 23.2129629891
35.0000000000, 11.1198346270, 38.4721983785, 24.7332244363
35.0000000000, 12.2318180897, 39.2656198205, 26.4055120282
35.0000000000, 13.4549998987, 40.2037563775, 28.2450283793
35.0000000000, 14.8004998885, 41.3128819940, 30.2684963655
35.0000000000, 16.2805498774, 42.6161864343, 32.4943111504
35.0000000000, 17.9086048651, 44.1425243389, 34.9427074137
35.0000000000, 19.6994653516, 45.9242319783, 37.6359433034
35.0000000000, 21.6694118868, 47.9938752231, 40.5985027820
35.0000000000, 23.8363530755, 50.3882628715, 43.8573182084
35.0000000000, 26.2199883830, 53.1462160025, 47.4420151776
35.0000000000, 28.8419872213, 56.3087129553, 51.3851818436
35.0000000000, 31.7261859434, 59.9194858954, 55.7226651763
35.0000000000, 34.8988045378, 64.0239725278, 60.4938968422
35.0000000000, 38.3886849916, 68.6705846710, 65.7422516747
35.0000000000, 42.2275534907, 73.9097783231, 71.5154419904
35.0000000000, 46.4503088398, 79.7946907646, 77.8659513377
35.0000000000, 51.0953397238, 86.3823508256, 84.8515116198
35.0000000000, 56.2048736961, 93.7331835451, 92.5356279300
35.0000000000, 61.8253610657, 101.9125196207, 100.9881558713
35.0000000000, 68.0078971723, 110.9914768342, 110.2859366067
35.0000000000, 74.8086868895, 121.0481218462, 120.5134954157
35.0000000000, 82.2895555785, 132.1683101637, 131.7638101055
35.0000000000, 90.5185111364, 144.4473529493, 144.1391562644
35.0000000000, 99.5703622500, 157.9911525804, 157.7520370391
35.0000000000, 109.5273984750, 172.9174383225, 172.7262058913
35.0000000000, 120.4801383225, 189.3571625921, 189.1977916287
35.0000000000, 132.5281521547, 207.4557580859, 207.3165359398
35.0000000000, 145.7809673702, 227.3744742094, 227.2471546821
35.0000000000, 160.3590641072, 249.2917414243, 249.1708352986
35.0000000000, 176.3949705179, 273.4046214912, 273.2868839767
35.0000000000, 194.0344675697, 299.9303578985, 299.8145375227
35.0000000000, 213.4379143267, 329.1080824500, 328.9949564232
35.0000000000, 234.7817057594, 361.2007123477, 361.0934172138
