F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.6054480628, 11.0181047438
35.0000000000, 2.2000000000, 34.6389140738, 11.3188803665
35.0000000000, 2.4200000000, 34.6757266860, 11.6497335514
35.0000000000, 2.6620000000, 34.7215610129, 12.0136720548
35.0000000000, 2.9282000000, 34.7748797595, 12.4140044086
35.0000000000, 3.2210200000, 34.8410721364, 12.8543699977
35.0000000000, 3.5431220000, 34.9180859482, 13.3387721458
35.0000000000, 3.8974342000, 35.0135271525, 13.8716145086
35.0000000000, 4.2871776200, 35.1287066377, 14.4577411078
35.0000000000, 4.7158953820, 35.2671376819, 15.1024803668
35.0000000000, 5.1874849202, 35.4345207810, 15.8116935518
35.0000000000, 5.7062334122, 35.6372402170, 16.5918280553
35.0000000000, 6.2768567534, 35.8823804790, 17.4499760091
35.0000000000, 6.9045424288, 36.1777548852, 18.3939387582
35.0000000000, 7.5949966717, 36.5351877373, 19.4322977824
35.0000000000, 8.3544963388, 36.9662256686, 20.5744927089
35.0000000000, 9.1899459727, 37.4839712077, 21.8309071280
35.0000000000, 10.1089405700, 38.1037910666, 23.2129629891
35.0000000000, 11.1198346270, 38.8450905229, 24.7332244363
35.0000000000, 12.2318180897, 39.7280001925, 26.4055120282
35.0000000000, 13.4549998987, 40.7734007230, 28.2450283793
35.0000000000, 14.8004998885, 42.0098576306, 30.2684963655
35.0000000000, 16.2805498774, 43.4618172444, 32.4943111504
35.0000000000, 17.9086048651, 45.1592681298, 34.9427074137
35.0000000000, 19.6994653516, 47.1349616543, 37.6359433034
35.0000000000, 21.6694118868, 49.4208589473, 40.5985027820
35.0000000000, 23.8363530755, 52.0522093492, 43.8573182084
35.0000000000, 26.2199883830, 55.0651138724, 47.4420151776
35.0000000000, 28.8419872213, 58.4967314057, 51.3851818436
35.0000000000, 31.7261859434, 62.3858889534, 55.7226651763
35.0000000000, 34.8988045378, 66.7723813024, 60.4938968422
35.0000000000, 38.3886849916, 71.6983406570, 65.7422516747
35.0000000000, 42.2275534907, 77.2079139964, 71.5154419904
35.0000000000, 46.4503088398, 83.3483336929, 77.8659513377
35.0000000000, 51.0953397238, 90.1712612636, 84.8515116198
35.0000000000, 56.2048736961, 97.7330838681, 92.5356279300
35.0000000000, 61.8253610657, 106.0964333849, 100.9881558713
35.0000000000, 68.0078971723, 115.3311781298, 110.2859366067
35.0000000000, 74.8086868895, 125.5154347194, 120.5134954157
35.0000000000, 82.2895555785, 136.7363461118, 131.7638101055
35.0000000000, 90.5185111364, 149.0909850101, 144.1391562644
35.0000000000, 99.5703622500, 162.6868212871, 157.7520370391
35.0000000000, 109.5273984750, 177.6419406902, 172.7262058913
35.0000000000, 120.4801383225, 194.0847873255, 189.1977916287
35.0000000000, 132.5281521547, 212.1530993399, 207.3165359398
35.0000000000, 145.7809673702, 231.9916250254, 227.2471546821
35.0000000000, 160.3590641072, 253.7480766591, 249.1708352986
35.0000000000, 176.3949705179, 277.5665775544, 273.2868839767
35.0000000000, 194.0344675697, 303.5782374221, 299.8145375227
35.0000000000, 213.4379143267, 331.8887245429, 328.9949564232
35.0000000000, 234.7817057594, 362.5642761883, 361.0934172138
