F,I,J,S,V,VwithoutInterp,VtoInf
35.0000000000, 25, 25, 17.3800000000, 39.7270418435, 34.1477501265
35.0000000000, 50, 50, 17.3800000000, 41.5165370959, 34.1477501265
35.0000000000, 100, 100, 17.3800000000, 41.9385153893, 34.1477501265
35.0000000000, 200, 200, 17.3800000000, 42.0266035417, 34.1477501265
35.0000000000, 400, 400, 17.3800000000, 42.0458220469, 34.1477501265
35.0000000000, 800, 800, 17.3800000000, 42.0494199953, 34.1477501265
35.0000000000, 1600, 1600, 17.3800000000, 42.0497268597, 34.1477501265
35.0000000000, 3200, 3200, 17.3800000000, 42.0495078415, 34.1477501265
35.0000000000, 6400, 6400, 17.3800000000, 42.0495607436, 34.1477501265
35.0000000000, 12800, 12800, 17.3800000000, 42.0495643460, 34.1477501265
