F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.9156396352, 11.0181047438
35.0000000000, 500, 500, 2.2000000000, 34.9760769024, 11.3188803665
35.0000000000, 500, 500, 2.4200000000, 35.0465731252, 11.6497335514
35.0000000000, 500, 500, 2.6620000000, 35.1278775309, 12.0136720548
35.0000000000, 500, 500, 2.9282000000, 35.2220397769, 12.4140044086
35.0000000000, 500, 500, 3.2210200000, 35.3313081093, 12.8543699977
35.0000000000, 500, 500, 3.5431220000, 35.4581529758, 13.3387721458
35.0000000000, 500, 500, 3.8974342000, 35.6053707358, 13.8716145086
35.0000000000, 500, 500, 4.2871776200, 35.7777738730, 14.4577411078
35.0000000000, 500, 500, 4.7158953820, 35.9773636463, 15.1024803668
35.0000000000, 500, 500, 5.1874849202, 36.2108403477, 15.8116935518
35.0000000000, 500, 500, 5.7062334122, 36.4823758194, 16.5918280553
35.0000000000, 500, 500, 6.2768567534, 36.7986455910, 17.4499760091
35.0000000000, 500, 500, 6.9045424288, 37.1668420815, 18.3939387582
35.0000000000, 500, 500, 7.5949966717, 37.5959518867, 19.4322977824
35.0000000000, 500, 500, 8.3544963388, 38.0948336401, 20.5744927089
35.0000000000, 500, 500, 9.1899459727, 38.6753491708, 21.8309071280
35.0000000000, 500, 500, 10.1089405700, 39.3500477899, 23.2129629891
35.0000000000, 500, 500, 11.1198346270, 40.1322967047, 24.7332244363
35.0000000000, 500, 500, 12.2318180897, 41.0392418139, 26.4055120282
35.0000000000, 500, 500, 13.4549998987, 42.0889940340, 28.2450283793
35.0000000000, 500, 500, 14.8004998885, 43.3012295044, 30.2684963655
35.0000000000, 500, 500, 16.2805498774, 44.6991907369, 32.4943111504
35.0000000000, 500, 500, 17.9086048651, 46.3077914848, 34.9427074137
35.0000000000, 500, 500, 19.6994653516, 48.1548423903, 37.6359433034
35.0000000000, 500, 500, 21.6694118868, 50.2710315091, 40.5985027820
35.0000000000, 500, 500, 23.8363530755, 52.6898769729, 43.8573182084
35.0000000000, 500, 500, 26.2199883830, 55.4475293151, 47.4420151776
35.0000000000, 500, 500, 28.8419872213, 58.5835794814, 51.3851818436
35.0000000000, 500, 500, 31.7261859434, 62.1406614843, 55.7226651763
35.0000000000, 500, 500, 34.8988045378, 66.1649522644, 60.4938968422
35.0000000000, 500, 500, 38.3886849916, 70.7056361800, 65.7422516747
35.0000000000, 500, 500, 42.2275534907, 75.8160331845, 71.5154419904
35.0000000000, 500, 500, 46.4503088398, 81.5529448494, 77.8659513377
35.0000000000, 500, 500, 51.0953397238, 87.9775622197, 84.8515116198
35.0000000000, 500, 500, 56.2048736961, 95.1554212989, 92.5356279300
35.0000000000, 500, 500, 61.8253610657, 103.1572211228, 100.9881558713
35.0000000000, 500, 500, 68.0078971723, 112.0591082487, 110.2859366067
35.0000000000, 500, 500, 74.8086868895, 121.9434819873, 120.5134954157
35.0000000000, 500, 500, 82.2895555785, 132.8997239147, 131.7638101055
35.0000000000, 500, 500, 90.5185111364, 145.0248717066, 144.1391562644
35.0000000000, 500, 500, 99.5703622500, 158.4244249898, 157.7520370391
35.0000000000, 500, 500, 109.5273984750, 173.2129944783, 172.7262058913
35.0000000000, 500, 500, 120.4801383225, 189.5145958593, 189.1977916287
35.0000000000, 500, 500, 132.5281521547, 207.4625236409, 207.3165359398
