F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.3892247271, 4.4486975762
35.0000000000, 500, 500, 2.2000000000, 34.3931488531, 4.8349011204
35.0000000000, 500, 500, 2.4200000000, 34.3989245307, 5.2597250190
35.0000000000, 500, 500, 2.6620000000, 34.4068828669, 5.7270313075
35.0000000000, 500, 500, 2.9282000000, 34.4179322458, 6.2410682249
35.0000000000, 500, 500, 3.2210200000, 34.4332657128, 6.8065088340
35.0000000000, 500, 500, 3.5431220000, 34.4543959554, 7.4284935040
35.0000000000, 500, 500, 3.8974342000, 34.4832556805, 8.1126766410
35.0000000000, 500, 500, 4.2871776200, 34.5237854213, 8.8652780916
35.0000000000, 500, 500, 4.7158953820, 34.5778296608, 9.6931396874
35.0000000000, 500, 500, 5.1874849202, 34.6521830024, 10.6037874428
35.0000000000, 500, 500, 5.7062334122, 34.7516725172, 11.6054999736
35.0000000000, 500, 500, 6.2768567534, 34.8845334021, 12.7073837576
35.0000000000, 500, 500, 6.9045424288, 35.0605096515, 13.9194559200
35.0000000000, 500, 500, 7.5949966717, 35.2929284705, 15.2527352986
35.0000000000, 500, 500, 8.3544963388, 35.5956560442, 16.7193426150
35.0000000000, 500, 500, 9.1899459727, 35.9886470059, 18.3326106631
35.0000000000, 500, 500, 10.1089405700, 36.4940232578, 20.1072055160
35.0000000000, 500, 500, 11.1198346270, 37.1357580581, 22.0592598542
35.0000000000, 500, 500, 12.2318180897, 37.9460072051, 24.2065196263
35.0000000000, 500, 500, 13.4549998987, 38.9588158290, 26.5685053755
35.0000000000, 500, 500, 14.8004998885, 40.2106231771, 29.1666896997
35.0000000000, 500, 500, 16.2805498774, 41.7444290091, 32.0246924562
35.0000000000, 500, 500, 17.9086048651, 43.6044073125, 35.1684954885
35.0000000000, 500, 500, 19.6994653516, 45.8378685958, 38.6266788239
35.0000000000, 500, 500, 21.6694118868, 48.4941341266, 42.4306804929
35.0000000000, 500, 500, 23.8363530755, 51.6233462196, 46.6150823288
35.0000000000, 500, 500, 26.2199883830, 55.2751754912, 51.2179243483
35.0000000000, 500, 500, 28.8419872213, 59.4999566471, 56.2810505697
35.0000000000, 500, 500, 31.7261859434, 64.3474450170, 61.8504894133
35.0000000000, 500, 500, 34.8988045378, 69.8678029642, 67.9768721412
35.0000000000, 500, 500, 38.3886849916, 76.1112057318, 74.7158931419
35.0000000000, 500, 500, 42.2275534907, 83.1304647161, 82.1288162427
35.0000000000, 500, 500, 46.4503088398, 90.9812024691, 90.2830316536
35.0000000000, 500, 500, 51.0953397238, 99.7243737373, 99.2526686055
35.0000000000, 500, 500, 56.2048736961, 109.4276053044, 109.1192692527
35.0000000000, 500, 500, 61.8253610657, 120.1672677749, 119.9725299646
35.0000000000, 500, 500, 68.0078971723, 132.0298775503, 131.9111167476
35.0000000000, 500, 500, 74.8086868895, 145.1136256401, 145.0435622090
35.0000000000, 500, 500, 82.2895555785, 159.5295738622, 159.4892522165
35.0000000000, 500, 500, 90.5185111364, 175.4026899355, 175.3795112247
35.0000000000, 500, 500, 99.5703622500, 192.8728512070, 192.8587961338
35.0000000000, 500, 500, 109.5273984750, 212.0958311289, 212.0860095338
35.0000000000, 500, 500, 120.4801383225, 233.2443687901, 233.2359442738
35.0000000000, 500, 500, 132.5281521547, 256.5093980153, 256.5008724878
