F,S,V,VtoINF
35.0000000000, 2.0000000000, 35.3080048688, 11.0181047438
35.0000000000, 2.2000000000, 35.4116451247, 11.3188803665
35.0000000000, 2.4200000000, 35.5256494061, 11.6497335514
35.0000000000, 2.6620000000, 35.6588156577, 12.0136720548
35.0000000000, 2.9282000000, 35.8095146807, 12.4140044086
35.0000000000, 3.2210200000, 35.9849332449, 12.8543699977
35.0000000000, 3.5431220000, 36.1830646721, 13.3387721458
35.0000000000, 3.8974342000, 36.4132693715, 13.8716145086
35.0000000000, 4.2871776200, 36.6770379151, 14.4577411078
35.0000000000, 4.7158953820, 36.9786382829, 15.1024803668
35.0000000000, 5.1874849202, 37.3242083199, 15.8116935518
35.0000000000, 5.7062334122, 37.7201449248, 16.5918280553
35.0000000000, 6.2768567534, 38.1732048842, 17.4499760091
35.0000000000, 6.9045424288, 38.6905992762, 18.3939387582
35.0000000000, 7.5949966717, 39.2822022547, 19.4322977824
35.0000000000, 8.3544963388, 39.9574876995, 20.5744927089
35.0000000000, 9.1899459727, 40.7268115701, 21.8309071280
35.0000000000, 10.1089405700, 41.6020292226, 23.2129629891
35.0000000000, 11.1198346270, 42.5972883454, 24.7332244363
35.0000000000, 12.2318180897, 43.7272671004, 26.4055120282
35.0000000000, 13.4549998987, 45.0074642968, 28.2450283793
35.0000000000, 14.8004998885, 46.4577084007, 30.2684963655
35.0000000000, 16.2805498774, 48.0965552928, 32.4943111504
35.0000000000, 17.9086048651, 49.9462244849, 34.9427074137
35.0000000000, 19.6994653516, 52.0314658897, 37.6359433034
35.0000000000, 21.6694118868, 54.3782060679, 40.5985027820
35.0000000000, 23.8363530755, 57.0157531703, 43.8573182084
35.0000000000, 26.2199883830, 59.9759703091, 47.4420151776
35.0000000000, 28.8419872213, 63.2936383128, 51.3851818436
35.0000000000, 31.7261859434, 67.0070433549, 55.7226651763
35.0000000000, 34.8988045378, 71.1577716785, 60.4938968422
35.0000000000, 38.3886849916, 75.7916342986, 65.7422516747
35.0000000000, 42.2275534907, 80.9584731112, 71.5154419904
35.0000000000, 46.4503088398, 86.7126826066, 77.8659513377
35.0000000000, 51.0953397238, 93.1140980837, 84.8515116198
35.0000000000, 56.2048736961, 100.2277881607, 92.5356279300
35.0000000000, 61.8253610657, 108.1249792968, 100.9881558713
35.0000000000, 68.0078971723, 116.8835939110, 110.2859366067
35.0000000000, 74.8086868895, 126.5889891477, 120.5134954157
35.0000000000, 82.2895555785, 137.3342763927, 131.7638101055
35.0000000000, 90.5185111364, 149.2214989623, 144.1391562644
35.0000000000, 99.5703622500, 162.3623621817, 157.7520370391
35.0000000000, 109.5273984750, 176.8790193491, 172.7262058913
35.0000000000, 120.4801383225, 192.9052489458, 189.1977916287
35.0000000000, 132.5281521547, 210.5874681763, 207.3165359398
35.0000000000, 145.7809673702, 230.0859584406, 227.2471546821
35.0000000000, 160.3590641072, 251.5761453429, 249.1708352986
35.0000000000, 176.3949705179, 275.2500456498, 273.2868839767
35.0000000000, 194.0344675697, 301.3177698184, 299.8145375227
35.0000000000, 213.4379143267, 330.0091920805, 328.9949564232
35.0000000000, 234.7817057594, 361.5757422420, 361.0934172138
