F,S0,I,V
25, 17.38, 5, 36.1048
25, 17.38, 10, 36.1181
25, 17.38, 15, 36.1199
25, 17.38, 20, 36.1206
25, 17.38, 25, 36.1205
25, 17.38, 30, 36.1204
25, 17.38, 35, 36.1203
25, 17.38, 40, 36.1203
25, 17.38, 45, 36.1202
25, 17.38, 50, 36.1202
25, 17.38, 55, 36.1202
25, 17.38, 60, 36.1202
25, 17.38, 65, 36.1202
25, 17.38, 70, 36.1202
25, 17.38, 75, 36.1202
25, 17.38, 80, 36.1202
25, 17.38, 85, 36.1202
25, 17.38, 90, 36.1202
25, 17.38, 95, 36.1202
25, 17.38, 100, 36.1201
25, 17.38, 105, 36.1201
25, 17.38, 110, 36.1201
25, 17.38, 115, 36.1201
25, 17.38, 120, 36.1201
25, 17.38, 125, 36.1201
25, 17.38, 130, 36.1201
25, 17.38, 135, 36.1201
25, 17.38, 140, 36.1201
25, 17.38, 145, 36.1201
25, 17.38, 150, 36.1201
25, 17.38, 155, 36.1201
25, 17.38, 160, 36.1201
25, 17.38, 165, 36.1201
25, 17.38, 170, 36.1201
25, 17.38, 175, 36.1201
25, 17.38, 180, 36.1201
25, 17.38, 185, 36.1201
25, 17.38, 190, 36.1201
25, 17.38, 195, 36.1201
25, 17.38, 200, 36.1201
25, 17.38, 205, 36.1201
25, 17.38, 210, 36.1201
25, 17.38, 215, 36.1201
25, 17.38, 220, 36.1201
25, 17.38, 225, 36.1201
25, 17.38, 230, 36.1201
25, 17.38, 235, 36.1201
25, 17.38, 240, 36.1201
25, 17.38, 245, 36.1201
25, 17.38, 250, 36.1201
25, 17.38, 255, 36.1201
25, 17.38, 260, 36.1201
25, 17.38, 265, 36.1201
25, 17.38, 270, 36.1201
25, 17.38, 275, 36.1201
25, 17.38, 280, 36.1201
25, 17.38, 285, 36.1201
25, 17.38, 290, 36.1201
25, 17.38, 295, 36.1201
25, 17.38, 300, 36.1201
25, 17.38, 305, 36.1201
25, 17.38, 310, 36.1201
25, 17.38, 315, 36.1201
25, 17.38, 320, 36.1201
25, 17.38, 325, 36.1201
25, 17.38, 330, 36.1201
25, 17.38, 335, 36.1201
25, 17.38, 340, 36.1201
25, 17.38, 345, 36.1201
25, 17.38, 350, 36.1201
25, 17.38, 355, 36.1201
25, 17.38, 360, 36.1201
25, 17.38, 365, 36.1201
25, 17.38, 370, 36.1201
25, 17.38, 375, 36.1201
25, 17.38, 380, 36.1201
25, 17.38, 385, 36.1201
25, 17.38, 390, 36.1201
25, 17.38, 395, 36.1201
25, 17.38, 400, 36.1201
25, 17.38, 405, 36.1201
25, 17.38, 410, 36.1201
25, 17.38, 415, 36.1201
25, 17.38, 420, 36.1201
25, 17.38, 425, 36.1201
25, 17.38, 430, 36.1201
25, 17.38, 435, 36.1201
25, 17.38, 440, 36.1201
25, 17.38, 445, 36.1201
25, 17.38, 450, 36.1201
25, 17.38, 455, 36.1201
25, 17.38, 460, 36.1201
25, 17.38, 465, 36.1201
25, 17.38, 470, 36.1201
25, 17.38, 475, 36.1201
25, 17.38, 480, 36.1201
25, 17.38, 485, 36.1201
25, 17.38, 490, 36.1201
25, 17.38, 495, 36.1201
25, 17.38, 500, 36.1201
